id,basic_card_name_en,ar-SA
DOG_WORD_PETS_2,Dog,كلب
HAMSTER_WORD_PETS_2,Hamster,هامستر
CAT_WORD_PETS_2,Cat,قطة
PARROT_WORD_PETS_2,Parrot,ببغاء
HOT_DOG_WORD_FOOD_3,Hot dog,هوت دوغ
PIZZA_WORD_FOOD_3,Pizza,بيتزا
BURGER_WORD_FOOD_3,Burger,برغر
FRIES_WORD_FOOD_3,Fries,بطاطس مقلية
PEONY_WORD_FLOWERS_4,Peony,فاوانيا
LILY_WORD_FLOWERS_4,Lily,زنبق
ROSE_WORD_FLOWERS_4,Rose,وردة
TULIP_WORD_FLOWERS_4,Tulip,توليب
WESTERN_WORD_CINEMA_6,Western,ويسترن
DRAMA_WORD_CINEMA_6,Drama,دراما
COMEDY_WORD_CINEMA_6,Comedy,كوميديا
HORROR_WORD_CINEMA_6,Horror,رعب
POPCORN_WORD_CINEMA_6,Action,أكشن
TICKET_WORD_CINEMA_6,Romance,رومانسي
BEEF_WORD_BURGER_8,Beef,لحم بقري
BUN_WORD_BURGER_8,Bun,خبز برغر
SAUCE_WORD_BURGER_8,Sauce,صلصة
CHEESE_WORD_BURGER_8,Cheese,جبن
PAGE_WORD_BOOK_9,Page,صفحة
PAPER_WORD_BOOK_9,Paper,ورق
COVER_WORD_BOOK_9,Cover,غلاف
ASIA_WORD_LANDMASS_10,Asia,آسيا
AFRICA_WORD_LANDMASS_10,Africa,أفريقيا
EUROPE_WORD_LANDMASS_10,Europe,أوروبا
SODA_WORD_DRINKS_16,Soda,صودا
ESPRESSO_WORD_DRINKS_16,Espresso,إسبريسو
LEMONADE_WORD_DRINKS_16,Lemonade,ليمونادة
JUICE_WORD_DRINKS_16,Juice,عصير
PAWN_WORD_CHESS_17,Pawn,بيدق
ROOK_WORD_CHESS_17,Rook,قلعة
BISHOP_WORD_CHESS_17,Bishop,فيل
QUEEN_WORD_CHESS_17,Queen,وزير
SPRING_WORD_SEASONS_18,Spring,ربيع
AUTUMN_WORD_SEASONS_18,Autumn,خريف
WINTER_WORD_SEASONS_18,Winter,شتاء
SUMMER_WORD_SEASONS_18,Summer,صيف
ROD_WORD_FISHING_20,Rod,صنارة
BOBBER_WORD_FISHING_20,Bobber,عوامة
BAIT_WORD_FISHING_20,Bait,طُعم
JAMAICA_WORD_ISLANDS_21,Jamaica,جامايكا
ICELAND_WORD_ISLANDS_21,Iceland,آيسلندا
SICILY_WORD_ISLANDS_21,Sicily,صقلية
HAWAII_WORD_ISLANDS_21,Hawaii,هاواي
BALI_WORD_ISLANDS_21,Bali,بالي
IBIZA_WORD_ISLANDS_21,Ibiza,إيبيزا
CRETE_WORD_ISLANDS_21,Crete,كريت
BARBADOS_WORD_ISLANDS_21,Barbados,باربادوس
RUMBA_WORD_DANCES_24,Rumba,رومبا
TANGO_WORD_DANCES_24,Tango,تانغو
SALSA_WORD_DANCES_24,Salsa,سالسا
WALTZ_WORD_DANCES_24,Waltz,فالس
SAMBA_WORD_DANCES_24,Samba,سامبا
FLAMENCO_WORD_DANCES_24,Flamenco,فلامنكو
MOSQUITO_WORD_INSECTS_25,Mosquito,بعوضة
LADYBUG_WORD_INSECTS_25,Ladybug,دعسوقة
MOTH_WORD_INSECTS_25,Moth,عثّة
WASP_WORD_INSECTS_25,Wasp,دبور
DRAGONFLY_WORD_INSECTS_25,Dragonfly,يعسوب
ANT_WORD_INSECTS_25,Ant,نملة
METAL_WORD_MATERIAL_27,Metal,معدن
GLASS_WORD_MATERIAL_27,Glass,زجاج
PLASTIC_WORD_MATERIAL_27,Plastic,بلاستيك
STONE_WORD_MATERIAL_27,Stone,حجر
TERMINAL_WORD_AIRPORT_29,Terminal,صالة
RUNWAY_WORD_AIRPORT_29,Runway,مدرج
GATE_WORD_AIRPORT_29,Gate,بوابة
CREAM_WORD_DAIRY_30,Cream,قشطة
BUTTER_WORD_DAIRY_30,Butter,زبدة
YOGURT_WORD_DAIRY_30,Yogurt,لبن
GOLDFISH_WORD_FISH_31,Goldfish,سمكة ذهبية
TUNA_WORD_FISH_31,Tuna,تونة
MARLIN_WORD_FISH_31,Marlin,مارلين
SARDINE_WORD_FISH_31,Sardine,سردين
EEL_WORD_FISH_31,Eel,أنقليس
MACKEREL_WORD_FISH_31,Mackerel,ماكريل
GROUPER_WORD_FISH_31,Grouper,هامور
PERCH_WORD_FISH_31,Perch,فرخ
ITALY_WORD_MAP_32,Italy,إيطاليا
INDIA_WORD_MAP_32,India,الهند
AUSTRALIA_WORD_MAP_32,Australia,أستراليا
FRANCE_WORD_MAP_32,France,فرنسا
