id,category_name_en,ar-SA
WORD_PETS_2,Pets,حيوانات أليفة
WORD_FOOD_3,Food,طعام
WORD_FLOWERS_4,Flowers,زهور
WORD_CINEMA_6,Cinema,سينما
WORD_BURGER_8,Burger,برغر
WORD_BOOK_9,Book,كتاب
WORD_LANDMASS_10,Landmass,كتلة أرضية
WORD_DRINKS_16,Drinks,مشروبات
WORD_CHESS_17,Chess,شطرنج
WORD_SEASONS_18,Seasons,فصول
WORD_FISHING_20,Fishing,صيد
WORD_ISLANDS_21,Islands,جزر
WORD_DANCES_24,Dances,رقصات
WORD_INSECTS_25,Insects,حشرات
WORD_MATERIAL_27,Material,مواد
WORD_AIRPORT_29,Airport,مطار
WORD_DAIRY_30,Dairy,ألبان
WORD_FISH_31,Fish,سمك
WORD_MAP_32,Nations,دول
WORD_KNIGHT_34,Knight,فارس
WORD_GAMER_36,Gamer,لاعب
WORD_DEVICE_38,Device,جهاز
WORD_HOUSE_40,House,بيت
WORD_JOBS_42,Jobs,وظائف
WORD_FOOTWEAR_46,Footwear,أحذية
WORD_DRIVING_49,Driving,قيادة
WORD_EXPLORER_51,Explorer,مستكشف
WORD_MOVEMENT_52,Movement,حركة
WORD_PHASE_57,Phase,مرحلة
WORD_COZY_58,Cozy,مريح
WORD_ZODIAC_59,Zodiac,أبراج
WORD_SHIP_62,Ship,سفينة
WORD_MAILMAN_63,Mailman,ساعي البريد
WORD_SCULPT_64,Sculpt,نحت
WORD_LANGUAGE_70,Language,لغة
WORD_CAMERA_73,Camera,كاميرا
WORD_FOG_76,Fog,ضباب
WORD_SNOW_77,Snow,ثلج
WORD_SPIKY_78,Spiky,شائك
WORD_BIRDS_80,Birds,طيور
WORD_MINDS_82,Minds,مفكرون
WORD_HOCKEY_86,Hockey,هوكي
WORD_DATE_87,Date,موعد غرامي
WORD_SAW_88,Saw,منشار
WORD_ACTOR_89,Actor,ممثل
WORD_PLANET_90,Planet,كوكب
WORD_LESSONS_94,Lessons,دروس
WORD_PILLS_99,Pills,حبوب
WORD_RAINY_100,Rainy,ممطر
WORD_BREADS_102,Breads,خبز
WORD_BRAIN_106,Brain,دماغ
WORD_ELEMENTS_107,Elements,عناصر
WORD_CHEESE_108,Cheese,جبن
WORD_FITNESS_110,Fitness,لياقة
WORD_MUSCLES_112,Muscles,عضلات
WORD_EGYPT_114,Egypt,مصر
WORD_BERRY_116,Berry,توت
WORD_CAPITALS_119,Capitals,عواصم
WORD_MAKEUP_120,Makeup,مكياج
WORD_COMBAT_121,Combat,قتال
WORD_GUITAR_122,Guitar,غيتار
WORD_BALLET_125,Ballet,باليه
WORD_UNITE_126,Unite,توحيد
WORD_LUXURY_133,Luxury,فخامة
WORD_BIOMES_135,Biomes,بيئات
WORD_SPICY_136,Spicy,حار
WORD_PLANE_139,Plane,طائرة
WORD_RODENTS_141,Rodents,قوارض
WORD_ENERGY_145,Energy,طاقة
WORD_ARTICLES_147,Articles,مقالات
WORD_DISASTER_148,Disaster,كارثة
WORD_PRIMATES_149,Primates,رئيسيات
WORD_CODING_150,Coding,برمجة
WORD_RAP_151,Rap,راب
WORD_WATER_152,Waterfall,شلال
WORD_TOYS_154,Toys,ألعاب
WORD_ARMY_156,Army,جيش
WORD_MEDITATE_160,Meditate,تأمل
WORD_FAME_161,Fame,شهرة
WORD_LINGUIST_162,Linguist,لغوي
WORD_HOLIDAY_163,Holiday,عطلة
WORD_GYM_164,Gym,صالة رياضية
WORD_WILLIAM_165,William,شكسبير
WORD_CANINES_168,Canines,كلاب
WORD_STUDIES_169,Studies,جامعات
WORD_CITRUS_173,Citrus,حمضيات
WORD_AIRCRAFT_174,Aircraft,طائرات
WORD_GRAPE_177,Grape,عنب
WORD_MUSHROOM_178,Mushroom,فطر
WORD_ARCTIC_180,Arctic,قطبي شمالي
WORD_RACING_182,Racing,سباق
WORD_HELP_183,Help,مساعدة
WORD_GEMSTONE_186,Gemstone,أحجار كريمة
WORD_PATTERN_188,Celestial,سماوي
WORD_FUELS_190,Fuels,وقود
WORD_ELECT_193,Elect,انتخاب
WORD_CROWN_194,Crown,ألقاب ملكية
WORD_LEADER_196,Leader,رؤساء أمريكا
WORD_HOT_DOG_201,Hot dog,هوت دوج
WORD_CIPHER_208,Cipher,شفرة
WORD_SYMPHONY_210,Symphony,سيمفونية
WORD_ARTWORKS_211,Artworks,أعمال فنية
WORD_AUCTION_215,Auction,مزاد
WORD_BEANS_219,Beans,حبوب قهوة
WORD_CAMPING_221,Camping,تخييم
WORD_PLAY_223,Music,موسيقى
WORD_FINANCE_227,Finance,مالية
WORD_MEDIEVAL_228,Medieval,قروسطي
WORD_OPTICS_229,Optics,بصريات
WORD_NAVIGATE_230,Navigate,ملاحة
WORD_TODDLER_231,Toddler,طفل صغير
WORD_FAMILIES_234,Families,عائلات حيوانية
WORD_STARS_236,Stars,نجوم
WORD_AI_238,AI,ذكاء اصطناعي
WORD_DIVISION_242,Division,أقسام إدارية
WORD_SPEAK_244,Speak,تكلم
WORD_HAIR_245,Hair,شعر
WORD_INJURIES_249,Injuries,إصابات
WORD_FLU_251,Flu,إنفلونزا
WORD_MINERALS_253,Minerals,معادن
WORD_RADIATE_257,Radiate,إشعاع
WORD_HORMONES_259,Hormones,هرمونات
WORD_EYE_260,Eye,عين
WORD_SHOVEL_261,Shovel,مجرفة
WORD_ALLOY_264,Alloy,سبيكة
WORD_FESTIVAL_270,Festival,مهرجان
WORD_METAL_272,Metal,معدن
WORD_ARTIFACT_276,Artifact,قطعة أثرية
WORD_DEFENSE_277,Defense,دفاع
WORD_PARTICLE_281,Particle,جسيم
WORD_NEW_YORK_287,New York,نيويورك
WORD_NO_BONES_289,No bones,بلا عظام
WORD_LEGENDS_291,Legends,أساطير
WORD_HELLO_295,Hello,مرحبا
WORD_PHD_296,PhD,دكتوراه
WORD_OK_SIGN_301,OK,موافق
WORD_JUSTICE_310,Justice,عدالة
WORD_PRISONER_312,Prisoner,سجين
WORD_SPACE_314,Space,فضاء
WORD_WESTERN_317,Western,غربي
WORD_LOCK_321,Lock,قفل
WORD_LEGS_322,Legs,أرجل
WORD_PYRAMIDS_330,Pyramids,آلهة مصرية
WORD_SHAFT_331,Shaft,تعدين
WORD_FARMING_333,Farming,زراعة
WORD_SLIDING_339,Sliding,انزلاق
WORD_PAINTING_340,Painting,لوحة
WORD_RICE_342,Rice,أرز
WORD_HEART_344,Love,حب
WORD_HIPPIE_349,Hippie,هيبي
WORD_ROBOT_354,Robot,روبوت
WORD_GREECE_359,Greece,اليونان
WORD_DYNAMICS_360,Dynamics,ديناميكيات
WORD_LAKES_365,Lakes,بحيرات
WORD_NUCLEAR_366,Nuclear,نووي
WORD_ITALY_376,Italy,إيطاليا
WORD_POINTING_379,Pointing,أسماء الإشارة
WORD_SKIN_380,Skin,جلد
WORD_BUILD_384,Build,بناء
WORD_POLICIES_394,Politics,سياسة
WORD_STRENGTH_401,Strength,قوة
WORD_MESSAGE_407,Message,رسالة
WORD_VIEWS_410,Views,فلسفة
WORD_ORGANS_412,Organs,أعضاء
WORD_TAROT_417,Tarot,تاروت
WORD_VOICES_439,Voices,أصوات
WORD_POETRY_440,Poetry,شعر
WORD_MEALS_444,Meals,وجبات
WORD_ALCHEMY_445,Alchemy,كيمياء قديمة
WORD_PAGANISM_469,Paganism,وثنية
WORD_PRESENT_470,Present,الحاضر
WORD_SECRET_471,Secret,سر
WORD_EQUIDAE_475,Equidae,خيليات
WORD_LEATHER_480,Leather,جلد
WORD_CASTLE_485,Castle,قلعة
WORD_DISPLAY_486,Display,عرض
WORD_CULTURES_487,Cultures,ثقافات
WORD_WARRIORS_491,Warriors,محاربون
WORD_LIE_492,Lie,كذب
WORD_VIOLIN_508,Orchestra,أوركسترا
WORD_ANAGRAM_511,Anagram,أناغرام
WORD_DRUM_518,Drum,طبل
WORD_WREATH_544,Winning,فوز
WORD_ZEN_549,Zen,زن
WORD_NETWORK_588,Network,شبكة
WORD_CUSTOMS_592,Customs,جمارك
WORD_MORTGAGE_595,Mortgage,رهن عقاري
WORD_CONCRETE_601,Concrete,خرسانة
WORD_MEMES_620,Memes,ميمز
WORD_ALKANES_641,Alkanes,ألكانات
WORD_EVALUATE_651,Evaluate,تقييم
WORD_QUEST_680,Quest,مهمة
WORD_BEARDS_681,Beards,لحى
WORD_YINYANG_721,Yinyang,يين يانج
WORD_FOODIE_726,Foodie,عاشق الطعام
WORD_OPERA_760,Opera,أوبرا
WORD_HARBOR_764,Harbor,ميناء
WORD_STREET_768,Street,شارع
WORD_CHIMERA_795,Chimera,خيمرا
WORD_CARRIAGE_800,Carriage,عربة
WORD_GAITS_810,Gaits,أنماط المشي
WORD_EARTH_831,Earth,أرض
WORD_VIOLINS_845,Violins,كمانات
WORD_GRAMMAR_861,Grammar,قواعد
WORD_COASTAL_882,Coastal,ساحلي
WORD_WHEEL_890,Wheel,عجلة
WORD_INDUSTRY_921,Industry,صناعة
WORD_PREFIX_922,Prefix,بادئة
WORD_BREEDS_940,Breeds,سلالات قطط
WORD_LANDMARK_948,Landmark,معلم
WORD_RIVERS_959,Rivers,أنهار
WORD_COAST_969,Coast,ساحل
WORD_SKINCARE_984,Skincare,عناية بالبشرة
WORD_DYNASTY_991,Dynasty,سلالة حاكمة
WORD_PRIEST_1019,Priest,كاهن
WORD_MAPS_1022,Maps,خرائط
WORD_SINGING_1054,Singing,غناء
WORD_GENETICS_1060,Genetics,جينات
WORD_SCREEN_1030,Screen,شاشة
WORD_ALARM_1031,Alarm,إنذار
WORD_LEAVES_1055,Leaves,أوراق
WORD_DISHWARE_829,Dishware,أواني
WORD_POND_830,Pond,بركة
PIC_CHESS_1,Chess,شطرنج
PIC_SPORTS_2,Sports,رياضة
PIC_FURNITURE_3,Furniture,أثاث
PIC_DECK_4,Deck,أوراق لعب
PIC_ZODIAC_5,Zodiac,أبراج
PIC_TOOLBOX_6,Toolbox,صندوق أدوات
PIC_GARMENTS_7,Garments,ملابس
PIC_VEGGIE_8,Veggie,خضروات
PIC_FRUITS_9,Fruits,فواكه
PIC_CHAIR_10,Chair,كرسي
PIC_HATS_11,Hats,قبعات
PIC_PLAY_12,Music,موسيقى
PIC_CLEANING_13,Cleaning,تنظيف
PIC_SHOES_14,Shoes,أحذية
PIC_MAP_15,Map,دول
PIC_BIRD_16,Bird,طائر
PIC_SEAFOOD_17,Seafood,مأكولات بحرية
PIC_DOGS_18,Dogs,كلاب
PIC_EATS_19,Eats,وجبات سريعة
PIC_BUILD_20,Build,بناء
PIC_FOLKLORE_21,Folklore,فولكلور
PIC_DRUPES_22,Drupes,ثمار صلبة
PIC_PICNIC_23,Picnic,نزهة
PIC_PASTRY_24,Pastry,معجنات
PIC_WIND_25,Wind,آلات نفخ
PIC_MALL_26,Mall,مركز تسوق
PIC_STRINGS_27,Strings,أوتار
PIC_JEWELRY_28,Jewelry,مجوهرات
PIC_FLOWERS_29,Flowers,زهور
PIC_REPTILES_30,Reptiles,زواحف
PIC_GEMSTONE_31,Gemstone,أحجار كريمة
PIC_INSECTS_32,Insects,حشرات
PIC_RODENTS_33,Rodents,قوارض
PIC_WESTERN_34,Western,غربي
PIC_PIRATE_35,Pirate,قرصان
PIC_BEACH_36,Beach,شاطئ
PIC_EGYPT_37,Egypt,مصر
PIC_SPACE_38,Space,فضاء
PIC_SEA_FISH_39,Sea fish,سمك البحر
PIC_BIRTHDAY_40,Birthday,عيد ميلاد
PIC_CHARGER_41,Charger,شاحن
PIC_TRANSPORT_42,Transport,نقل
PIC_WHISKERS_43,Whiskers,شوارب
PIC_BURGER_44,Burger,برغر
PIC_DRINKS_45,Drinks,مشروبات
PIC_SHAPES_46,Shapes,أشكال
PIC_LUXURY_47,Luxury,فخامة
PIC_TAROT_48,Tarot,تاروت
PIC_BABIES_49,Babies,أطفال
PIC_SAILOR_50,Sailor,بحار
PIC_CANDY_51,Candy,حلوى
PIC_KEYS_52,Keys,مفاتيح
PIC_LAWN_53,Lawn,عشب
PIC_3D_54,3D,ثلاثي الأبعاد
PIC_VAMPIRE_55,Vampire,مصاص دماء
PIC_LANDMARK_56,Landmark,معلم
PIC_DESERT_57,Desert,صحراء
PIC_TOYS_58,Toys,ألعاب
PIC_PURPLE_59,Purple,بنفسجي
PIC_YELLOW_60,Yellow,أصفر
PIC_RAIN_61,Rain,مطر
PIC_GYM_62,Gym,صالة رياضية
PIC_PAIRS_63,Pairs,أزواج
PIC_CAMPING_64,Camping,تخييم
PIC_XMAS_65,Xmas,كريسماس
PIC_MAIL_66,Mail,بريد
PIC_CHEF_67,Chef,طاهي
PIC_SCREEN_68,Screen,شاشة
PIC_TOOLS_69,Tools,أدوات
PIC_SUPPLIES_70,Supplies,مستلزمات
PIC_UTENSILS_71,Utensils,أدوات مطبخ
PIC_ARTS_72,Arts,فنون
PIC_SURVIVAL_73,Survival,بقاء
PIC_BAKING_74,Baking,خبز
PIC_MEDICAL_75,Medical,طبي
PIC_ECO_ITEMS_76,Eco-items,مواد بيئية
PIC_DECOR_77,Decor,ديكور
PIC_AQUATICS_78,Aquatics,مائيات
PIC_ICONS_79,Icons,رموز
PIC_HALLOWEEN_80,Halloween,هالوين
