id,category_name_en,hi-IN
WORD_PETS_2,Pets,पालतू जानवर
WORD_FOOD_3,Food,खाना
WORD_FLOWERS_4,Flowers,फूल
WORD_CINEMA_6,Cinema,सिनेमा
WORD_BURGER_8,Burger,बर्गर
WORD_BOOK_9,Book,किताब
WORD_LANDMASS_10,Landmass,भूखंड
WORD_DRINKS_16,Drinks,पेय
WORD_CHESS_17,Chess,शतरंज
WORD_SEASONS_18,Seasons,मौसम
WORD_FISHING_20,Fishing,मछली पकड़ना
WORD_ISLANDS_21,Islands,द्वीप
WORD_DANCES_24,Dances,नृत्य
WORD_INSECTS_25,Insects,कीड़े
WORD_MATERIAL_27,Material,सामग्री
WORD_AIRPORT_29,Airport,हवाई अड्डा
WORD_DAIRY_30,Dairy,डेयरी
WORD_FISH_31,Fish,मछली
WORD_MAP_32,Nations,राष्ट्र
WORD_KNIGHT_34,Knight,शूरवीर
WORD_GAMER_36,Gamer,गेमर
WORD_DEVICE_38,Device,उपकरण
WORD_HOUSE_40,House,घर
WORD_JOBS_42,Jobs,नौकरियां
WORD_FOOTWEAR_46,Footwear,जूते
WORD_DRIVING_49,Driving,गाड़ी चलाना
WORD_EXPLORER_51,Explorer,खोजकर्ता
WORD_MOVEMENT_52,Movement,गति
WORD_PHASE_57,Phase,चरण
WORD_COZY_58,Cozy,आरामदायक
WORD_ZODIAC_59,Zodiac,राशि
WORD_SHIP_62,Ship,जहाज
WORD_MAILMAN_63,Mailman,डाकिया
WORD_SCULPT_64,Sculpt,मूर्तिकला
WORD_LANGUAGE_70,Language,भाषा
WORD_CAMERA_73,Camera,कैमरा
WORD_FOG_76,Fog,कोहरा
WORD_SNOW_77,Snow,बर्फ
WORD_SPIKY_78,Spiky,नुकीला
WORD_BIRDS_80,Birds,पक्षी
WORD_MINDS_82,Minds,विचारक
WORD_HOCKEY_86,Hockey,हॉकी
WORD_DATE_87,Date,रोमांटिक डेट
WORD_SAW_88,Saw,आरी
WORD_ACTOR_89,Actor,अभिनेता
WORD_PLANET_90,Planet,ग्रह
WORD_LESSONS_94,Lessons,पाठ
WORD_PILLS_99,Pills,गोलियां
WORD_RAINY_100,Rainy,बरसाती
WORD_BREADS_102,Breads,रोटी
WORD_BRAIN_106,Brain,दिमाग
WORD_ELEMENTS_107,Elements,तत्व
WORD_CHEESE_108,Cheese,पनीर
WORD_FITNESS_110,Fitness,फिटनेस
WORD_MUSCLES_112,Muscles,मांसपेशियां
WORD_EGYPT_114,Egypt,मिस्र
WORD_BERRY_116,Berry,बेरी
WORD_CAPITALS_119,Capitals,राजधानियां
WORD_MAKEUP_120,Makeup,मेकअप
WORD_COMBAT_121,Combat,युद्ध
WORD_GUITAR_122,Guitar,गिटार
WORD_BALLET_125,Ballet,बैले
WORD_UNITE_126,Unite,एकजुट
WORD_LUXURY_133,Luxury,विलासिता
WORD_BIOMES_135,Biomes,जीवोम
WORD_SPICY_136,Spicy,मसालेदार
WORD_PLANE_139,Plane,हवाई जहाज
WORD_RODENTS_141,Rodents,कृंतक
WORD_ENERGY_145,Energy,ऊर्जा
WORD_ARTICLES_147,Articles,लेख
WORD_DISASTER_148,Disaster,आपदा
WORD_PRIMATES_149,Primates,प्राइमेट
WORD_CODING_150,Coding,कोडिंग
WORD_RAP_151,Rap,रैप
WORD_WATER_152,Waterfall,झरना
WORD_TOYS_154,Toys,खिलौने
WORD_ARMY_156,Army,सेना
WORD_MEDITATE_160,Meditate,ध्यान
WORD_FAME_161,Fame,प्रसिद्धि
WORD_LINGUIST_162,Linguist,भाषाविद
WORD_HOLIDAY_163,Holiday,छुट्टी
WORD_GYM_164,Gym,जिम
WORD_WILLIAM_165,William,शेक्सपियर
WORD_CANINES_168,Canines,कुत्ते
WORD_STUDIES_169,Studies,विश्वविद्यालय
WORD_CITRUS_173,Citrus,खट्टे फल
WORD_AIRCRAFT_174,Aircraft,विमान
WORD_GRAPE_177,Grape,अंगूर
WORD_MUSHROOM_178,Mushroom,मशरूम
WORD_ARCTIC_180,Arctic,आर्कटिक
WORD_RACING_182,Racing,रेसिंग
WORD_HELP_183,Help,मदद
WORD_GEMSTONE_186,Gemstone,रत्न
WORD_PATTERN_188,Celestial,आकाशीय
WORD_FUELS_190,Fuels,ईंधन
WORD_ELECT_193,Elect,चुनाव
WORD_CROWN_194,Crown,शाही उपाधि
WORD_LEADER_196,Leader,अमेरिकी राष्ट्रपति
WORD_HOT_DOG_201,Hot dog,हॉट डॉग
WORD_CIPHER_208,Cipher,सांकेतिक
WORD_SYMPHONY_210,Symphony,सिम्फनी
WORD_ARTWORKS_211,Artworks,कलाकृतियां
WORD_AUCTION_215,Auction,नीलामी
WORD_BEANS_219,Beans,कॉफी बीन्स
WORD_CAMPING_221,Camping,कैंपिंग
WORD_PLAY_223,Music,संगीत
WORD_FINANCE_227,Finance,वित्त
WORD_MEDIEVAL_228,Medieval,मध्यकालीन
WORD_OPTICS_229,Optics,प्रकाशिकी
WORD_NAVIGATE_230,Navigate,नेविगेट
WORD_TODDLER_231,Toddler,नन्हा बच्चा
WORD_FAMILIES_234,Families,पशु परिवार
WORD_STARS_236,Stars,तारे
WORD_AI_238,AI,कृत्रिम बुद्धि
WORD_DIVISION_242,Division,प्रशासनिक क्षेत्र
WORD_SPEAK_244,Speak,बोलना
WORD_HAIR_245,Hair,बाल
WORD_INJURIES_249,Injuries,चोट
WORD_FLU_251,Flu,फ्लू
WORD_MINERALS_253,Minerals,खनिज
WORD_RADIATE_257,Radiate,विकिरण
WORD_HORMONES_259,Hormones,हार्मोन
WORD_EYE_260,Eye,आंख
WORD_SHOVEL_261,Shovel,कुदाल
WORD_ALLOY_264,Alloy,मिश्रधातु
WORD_FESTIVAL_270,Festival,त्योहार
WORD_METAL_272,Metal,धातु
WORD_ARTIFACT_276,Artifact,कलाकृति
WORD_DEFENSE_277,Defense,रक्षा
WORD_PARTICLE_281,Particle,कण
WORD_NEW_YORK_287,New York,न्यूयॉर्क
WORD_NO_BONES_289,No bones,बिना हड्डी
WORD_LEGENDS_291,Legends,किंवदंतियां
WORD_HELLO_295,Hello,नमस्ते
WORD_PHD_296,PhD,पीएचडी
WORD_OK_SIGN_301,OK,ठीक है
WORD_JUSTICE_310,Justice,न्याय
WORD_PRISONER_312,Prisoner,कैदी
WORD_SPACE_314,Space,अंतरिक्ष
WORD_WESTERN_317,Western,पश्चिमी
