id,basic_card_name_en,zh-TW
DOG_WORD_PETS_2,Dog,狗
HAMSTER_WORD_PETS_2,Hamster,倉鼠
CAT_WORD_PETS_2,Cat,貓
PARROT_WORD_PETS_2,Parrot,鸚鵡
HOT_DOG_WORD_FOOD_3,Hot dog,熱狗
PIZZA_WORD_FOOD_3,Pizza,披薩
BURGER_WORD_FOOD_3,Burger,漢堡
FRIES_WORD_FOOD_3,Fries,薯條
PEONY_WORD_FLOWERS_4,Peony,牡丹
LILY_WORD_FLOWERS_4,Lily,百合
ROSE_WORD_FLOWERS_4,Rose,玫瑰
TULIP_WORD_FLOWERS_4,Tulip,鬱金香
WESTERN_WORD_CINEMA_6,Western,西部片
DRAMA_WORD_CINEMA_6,Drama,劇情片
COMEDY_WORD_CINEMA_6,Comedy,喜劇片
HORROR_WORD_CINEMA_6,Horror,恐怖片
POPCORN_WORD_CINEMA_6,Action,動作片
TICKET_WORD_CINEMA_6,Romance,愛情片
BEEF_WORD_BURGER_8,Beef,牛肉
BUN_WORD_BURGER_8,Bun,麵包
SAUCE_WORD_BURGER_8,Sauce,醬料
CHEESE_WORD_BURGER_8,Cheese,起司
PAGE_WORD_BOOK_9,Page,頁
PAPER_WORD_BOOK_9,Paper,紙
COVER_WORD_BOOK_9,Cover,封面
ASIA_WORD_LANDMASS_10,Asia,亞洲
AFRICA_WORD_LANDMASS_10,Africa,非洲
EUROPE_WORD_LANDMASS_10,Europe,歐洲
SODA_WORD_DRINKS_16,Soda,蘇打水
ESPRESSO_WORD_DRINKS_16,Espresso,濃縮咖啡
LEMONADE_WORD_DRINKS_16,Lemonade,檸檬水
JUICE_WORD_DRINKS_16,Juice,果汁
PAWN_WORD_CHESS_17,Pawn,兵
ROOK_WORD_CHESS_17,Rook,城堡
BISHOP_WORD_CHESS_17,Bishop,主教
QUEEN_WORD_CHESS_17,Queen,皇后
SPRING_WORD_SEASONS_18,Spring,春
AUTUMN_WORD_SEASONS_18,Autumn,秋
WINTER_WORD_SEASONS_18,Winter,冬
SUMMER_WORD_SEASONS_18,Summer,夏
ROD_WORD_FISHING_20,Rod,釣竿
BOBBER_WORD_FISHING_20,Bobber,浮標
BAIT_WORD_FISHING_20,Bait,魚餌
JAMAICA_WORD_ISLANDS_21,Jamaica,牙買加
ICELAND_WORD_ISLANDS_21,Iceland,冰島
SICILY_WORD_ISLANDS_21,Sicily,西西里
HAWAII_WORD_ISLANDS_21,Hawaii,夏威夷
BALI_WORD_ISLANDS_21,Bali,峇里島
IBIZA_WORD_ISLANDS_21,Ibiza,伊比薩
CRETE_WORD_ISLANDS_21,Crete,克里特
BARBADOS_WORD_ISLANDS_21,Barbados,巴貝多
RUMBA_WORD_DANCES_24,Rumba,倫巴
TANGO_WORD_DANCES_24,Tango,探戈
SALSA_WORD_DANCES_24,Salsa,騷莎
WALTZ_WORD_DANCES_24,Waltz,華爾滋
SAMBA_WORD_DANCES_24,Samba,森巴
FLAMENCO_WORD_DANCES_24,Flamenco,佛朗明哥
MOSQUITO_WORD_INSECTS_25,Mosquito,蚊子
LADYBUG_WORD_INSECTS_25,Ladybug,瓢蟲
MOTH_WORD_INSECTS_25,Moth,飛蛾
WASP_WORD_INSECTS_25,Wasp,黃蜂
DRAGONFLY_WORD_INSECTS_25,Dragonfly,蜻蜓
ANT_WORD_INSECTS_25,Ant,螞蟻
METAL_WORD_MATERIAL_27,Metal,金屬
GLASS_WORD_MATERIAL_27,Glass,玻璃
PLASTIC_WORD_MATERIAL_27,Plastic,塑膠
STONE_WORD_MATERIAL_27,Stone,石頭
TERMINAL_WORD_AIRPORT_29,Terminal,航廈
RUNWAY_WORD_AIRPORT_29,Runway,跑道
GATE_WORD_AIRPORT_29,Gate,登機門
CREAM_WORD_DAIRY_30,Cream,奶油
BUTTER_WORD_DAIRY_30,Butter,奶油
YOGURT_WORD_DAIRY_30,Yogurt,優格
GOLDFISH_WORD_FISH_31,Goldfish,金魚
TUNA_WORD_FISH_31,Tuna,鮪魚
MARLIN_WORD_FISH_31,Marlin,旗魚
SARDINE_WORD_FISH_31,Sardine,沙丁魚
EEL_WORD_FISH_31,Eel,鰻魚
MACKEREL_WORD_FISH_31,Mackerel,鯖魚
GROUPER_WORD_FISH_31,Grouper,石斑魚
PERCH_WORD_FISH_31,Perch,鱸魚
ITALY_WORD_MAP_32,Italy,義大利
INDIA_WORD_MAP_32,India,印度
AUSTRALIA_WORD_MAP_32,Australia,澳洲
FRANCE_WORD_MAP_32,France,法國
USA_WORD_MAP_32,USA,美國
UK_WORD_MAP_32,UK,英國
CYPRUS_WORD_MAP_32,Cyprus,賽普勒斯
JAPAN_WORD_MAP_32,Japan,日本
ARMOR_WORD_KNIGHT_34,Armor,鎧甲
HELMET_WORD_KNIGHT_34,Helmet,頭盔
SHIELD_WORD_KNIGHT_34,Shield,盾牌
WEAPON_WORD_KNIGHT_34,Weapon,武器
DESTRIER_WORD_KNIGHT_34,Destrier,戰馬
CHIVALRY_WORD_KNIGHT_34,Chivalry,騎士精神
SHOOTER_WORD_GAMER_36,Shooter,射擊
ARCADE_WORD_GAMER_36,Arcade,街機
STRATEGY_WORD_GAMER_36,Strategy,策略
SCORE_WORD_GAMER_36,Score,得分
DRYER_WORD_DEVICE_38,Dryer,烘衣機
PRINTER_WORD_DEVICE_38,Printer,印表機
FAX_WORD_DEVICE_38,Fax,傳真機
HEATER_WORD_DEVICE_38,Heater,暖氣機
MANSION_WORD_HOUSE_40,Mansion,豪宅
PALACE_WORD_HOUSE_40,Palace,宮殿
VILLA_WORD_HOUSE_40,Villa,別墅
PILOT_WORD_JOBS_42,Pilot,飛行員
MAILMAN_WORD_JOBS_42,Mailman,郵差
DOCTOR_WORD_JOBS_42,Doctor,醫生
WELDER_WORD_JOBS_42,Welder,焊工
ENGINEER_WORD_JOBS_42,Engineer,工程師
PLUMBER_WORD_JOBS_42,Plumber,水管工
ACTOR_WORD_JOBS_42,Actor,演員
NURSE_WORD_JOBS_42,Nurse,護士
SANDALS_WORD_FOOTWEAR_46,Sandals,涼鞋
UGGS_WORD_FOOTWEAR_46,Uggs,雪靴
SLIPPERS_WORD_FOOTWEAR_46,Slippers,拖鞋
CLOGS_WORD_FOOTWEAR_46,Clogs,木屐
LOAFERS_WORD_FOOTWEAR_46,Loafers,樂福鞋
SNEAKERS_WORD_FOOTWEAR_46,Sneakers,運動鞋
CAR_WORD_DRIVING_49,Car,汽車
ROAD_WORD_DRIVING_49,Road,道路
SIGN_WORD_DRIVING_49,Sign,路標
TRAFFIC_WORD_DRIVING_49,Traffic,交通
VESPUCCI_WORD_EXPLORER_51,Vespucci,韋斯普奇
MAGELLAN_WORD_EXPLORER_51,Magellan,麥哲倫
COLUMBUS_WORD_EXPLORER_51,Columbus,哥倫布
KICK_WORD_MOVEMENT_52,Kick,踢
WALK_WORD_MOVEMENT_52,Walk,走
JUMP_WORD_MOVEMENT_52,Jump,跳
SOLID_WORD_PHASE_57,Solid,固體
LIQUID_WORD_PHASE_57,Liquid,液體
GAS_WORD_PHASE_57,Gas,氣體
COMFY_WORD_COZY_58,Comfy,舒適
WARM_WORD_COZY_58,Warm,溫暖
SNUG_WORD_COZY_58,Snug,愜意
ARIES_WORD_ZODIAC_59,Aries,白羊座
TAURUS_WORD_ZODIAC_59,Taurus,金牛座
GEMINI_WORD_ZODIAC_59,Gemini,雙子座
LEO_WORD_ZODIAC_59,Leo,獅子座
VIRGO_WORD_ZODIAC_59,Virgo,處女座
LIBRA_WORD_ZODIAC_59,Libra,天秤座
SCORPIO_WORD_ZODIAC_59,Scorpio,天蠍座
PISCES_WORD_ZODIAC_59,Pisces,雙魚座
FRIGATE_WORD_SHIP_62,Frigate,護衛艦
CARAVEL_WORD_SHIP_62,Caravel,卡拉維爾
GALLEON_WORD_SHIP_62,Galleon,大帆船
BRIG_WORD_SHIP_62,Brig,雙桅船
TANKER_WORD_SHIP_62,Tanker,油輪
TUGBOAT_WORD_SHIP_62,Tugboat,拖船
STAMP_WORD_MAILMAN_63,Stamp,郵票
ENVELOPE_WORD_MAILMAN_63,Envelope,信封
LETTER_WORD_MAILMAN_63,Letter,信件
MAIL_WORD_MAILMAN_63,Mail,郵件
SEAL_WORD_MAILMAN_63,Seal,封蠟
INK_WORD_MAILMAN_63,Ink,墨水
BUST_WORD_SCULPT_64,Bust,胸像
FIGURINE_WORD_SCULPT_64,Figurine,雕像
STATUE_WORD_SCULPT_64,Statue,雕塑
MONUMENT_WORD_SCULPT_64,Monument,紀念碑
