id,category_name_en,th-TH
WORD_PETS_2,Pets,สัตว์เลี้ยง
WORD_FOOD_3,Food,อาหาร
WORD_FLOWERS_4,Flowers,ดอกไม้
WORD_CINEMA_6,Cinema,โรงหนัง
WORD_BURGER_8,Burger,เบอร์เกอร์
WORD_BOOK_9,Book,หนังสือ
WORD_LANDMASS_10,Landmass,แผ่นดิน
WORD_DRINKS_16,Drinks,เครื่องดื่ม
WORD_CHESS_17,Chess,หมากรุก
WORD_SEASONS_18,Seasons,ฤดูกาล
WORD_FISHING_20,Fishing,การตกปลา
WORD_ISLANDS_21,Islands,เกาะ
WORD_DANCES_24,Dances,การเต้นรำ
WORD_INSECTS_25,Insects,แมลง
WORD_MATERIAL_27,Material,วัสดุ
WORD_AIRPORT_29,Airport,สนามบิน
WORD_DAIRY_30,Dairy,ผลิตภัณฑ์นม
WORD_FISH_31,Fish,ปลา
WORD_MAP_32,Nations,ประเทศ
WORD_KNIGHT_34,Knight,อัศวิน
WORD_GAMER_36,Gamer,นักเล่นเกม
WORD_DEVICE_38,Device,อุปกรณ์
WORD_HOUSE_40,House,บ้าน
WORD_JOBS_42,Jobs,งาน
WORD_FOOTWEAR_46,Footwear,รองเท้า
WORD_DRIVING_49,Driving,การขับรถ
WORD_EXPLORER_51,Explorer,นักสำรวจ
WORD_MOVEMENT_52,Movement,การเคลื่อนไหว
WORD_PHASE_57,Phase,ระยะ
WORD_COZY_58,Cozy,อบอุ่น
WORD_ZODIAC_59,Zodiac,ราศี
WORD_SHIP_62,Ship,เรือ
WORD_MAILMAN_63,Mailman,บุรุษไปรษณีย์
WORD_SCULPT_64,Sculpt,ประติมากรรม
WORD_LANGUAGE_70,Language,ภาษา
WORD_CAMERA_73,Camera,กล้อง
WORD_FOG_76,Fog,หมอก
WORD_SNOW_77,Snow,หิมะ
WORD_SPIKY_78,Spiky,มีหนาม
WORD_BIRDS_80,Birds,นก
WORD_MINDS_82,Minds,นักคิด
WORD_HOCKEY_86,Hockey,ฮ็อกกี้
WORD_DATE_87,Date,เดท
WORD_SAW_88,Saw,เลื่อย
WORD_ACTOR_89,Actor,นักแสดง
WORD_PLANET_90,Planet,ดาวเคราะห์
WORD_LESSONS_94,Lessons,บทเรียน
WORD_PILLS_99,Pills,ยาเม็ด
WORD_RAINY_100,Rainy,ฝนตก
WORD_BREADS_102,Breads,ขนมปัง
WORD_BRAIN_106,Brain,สมอง
WORD_ELEMENTS_107,Elements,ธาตุ
WORD_CHEESE_108,Cheese,ชีส
WORD_FITNESS_110,Fitness,ฟิตเนส
WORD_MUSCLES_112,Muscles,กล้ามเนื้อ
WORD_EGYPT_114,Egypt,อียิปต์
WORD_BERRY_116,Berry,เบอร์รี่
WORD_CAPITALS_119,Capitals,เมืองหลวง
WORD_MAKEUP_120,Makeup,เครื่องสำอาง
WORD_COMBAT_121,Combat,การต่อสู้
WORD_GUITAR_122,Guitar,กีตาร์
WORD_BALLET_125,Ballet,บัลเลต์
WORD_UNITE_126,Unite,รวมกัน
WORD_LUXURY_133,Luxury,ความหรูหรา
WORD_BIOMES_135,Biomes,ระบบนิเวศ
WORD_SPICY_136,Spicy,เผ็ด
WORD_PLANE_139,Plane,เครื่องบิน
WORD_RODENTS_141,Rodents,สัตว์ฟันแทะ
WORD_ENERGY_145,Energy,พลังงาน
WORD_ARTICLES_147,Articles,บทความ
WORD_DISASTER_148,Disaster,ภัยพิบัติ
WORD_PRIMATES_149,Primates,ไพรเมต
WORD_CODING_150,Coding,การเขียนโค้ด
WORD_RAP_151,Rap,แร็พ
WORD_WATER_152,Waterfall,น้ำตก
WORD_TOYS_154,Toys,ของเล่น
WORD_ARMY_156,Army,กองทัพ
WORD_MEDITATE_160,Meditate,นั่งสมาธิ
WORD_FAME_161,Fame,ชื่อเสียง
WORD_LINGUIST_162,Linguist,นักภาษาศาสตร์
WORD_HOLIDAY_163,Holiday,วันหยุด
WORD_GYM_164,Gym,ยิม
WORD_WILLIAM_165,William,เชกสเปียร์
WORD_CANINES_168,Canines,สุนัข
WORD_STUDIES_169,Studies,มหาวิทยาลัย
WORD_CITRUS_173,Citrus,ส้ม
WORD_AIRCRAFT_174,Aircraft,อากาศยาน
WORD_GRAPE_177,Grape,องุ่น
WORD_MUSHROOM_178,Mushroom,เห็ด
WORD_ARCTIC_180,Arctic,อาร์กติก
WORD_RACING_182,Racing,การแข่งรถ
WORD_HELP_183,Help,ช่วยเหลือ
WORD_GEMSTONE_186,Gemstone,อัญมณี
WORD_PATTERN_188,Celestial,กลุ่มดาว
WORD_FUELS_190,Fuels,เชื้อเพลิง
WORD_ELECT_193,Elect,เลือกตั้ง
WORD_CROWN_194,Crown,ตำแหน่งราชวงศ์
WORD_LEADER_196,Leader,ประธานาธิบดีสหรัฐ
WORD_HOT_DOG_201,Hot dog,ฮอตด็อก
WORD_CIPHER_208,Cipher,รหัส
WORD_SYMPHONY_210,Symphony,ซิมโฟนี
WORD_ARTWORKS_211,Artworks,งานศิลปะ
WORD_AUCTION_215,Auction,การประมูล
WORD_BEANS_219,Beans,เมล็ดกาแฟ
WORD_CAMPING_221,Camping,การตั้งแคมป์
WORD_PLAY_223,Music,ดนตรี
WORD_FINANCE_227,Finance,การเงิน
WORD_MEDIEVAL_228,Medieval,ยุคกลาง
WORD_OPTICS_229,Optics,แสงทัศนศาสตร์
WORD_NAVIGATE_230,Navigate,การนำทาง
WORD_TODDLER_231,Toddler,เด็กเล็ก
WORD_FAMILIES_234,Families,ตระกูลสัตว์
WORD_STARS_236,Stars,ดาว
WORD_AI_238,AI,AI
WORD_DIVISION_242,Division,เขตการปกครอง
WORD_SPEAK_244,Speak,พูด
WORD_HAIR_245,Hair,ผม
WORD_INJURIES_249,Injuries,การบาดเจ็บ
WORD_FLU_251,Flu,ไข้หวัดใหญ่
WORD_MINERALS_253,Minerals,แร่ธาตุ
WORD_RADIATE_257,Radiate,การแผ่รังสี
WORD_HORMONES_259,Hormones,ฮอร์โมน
WORD_EYE_260,Eye,ดวงตา
WORD_SHOVEL_261,Shovel,พลั่ว
WORD_ALLOY_264,Alloy,โลหะผสม
WORD_FESTIVAL_270,Festival,เทศกาล
WORD_METAL_272,Metal,โลหะ
WORD_ARTIFACT_276,Artifact,โบราณวัตถุ
WORD_DEFENSE_277,Defense,การป้องกัน
WORD_PARTICLE_281,Particle,อนุภาค
WORD_NEW_YORK_287,New York,นิวยอร์ก
WORD_NO_BONES_289,No bones,ไม่มีกระดูก
WORD_LEGENDS_291,Legends,ตำนาน
WORD_HELLO_295,Hello,สวัสดี
WORD_PHD_296,PhD,ปริญญาเอก
WORD_OK_SIGN_301,OK,ตกลง
WORD_JUSTICE_310,Justice,ความยุติธรรม
WORD_PRISONER_312,Prisoner,นักโทษ
WORD_SPACE_314,Space,อวกาศ
WORD_WESTERN_317,Western,ตะวันตก
WORD_LOCK_321,Lock,กุญแจล็อก
WORD_LEGS_322,Legs,ขา
WORD_PYRAMIDS_330,Pyramids,เทพอียิปต์
WORD_SHAFT_331,Shaft,เหมืองแร่
WORD_FARMING_333,Farming,การเกษตร
WORD_SLIDING_339,Sliding,การเลื่อน
WORD_PAINTING_340,Painting,การวาดภาพ
WORD_RICE_342,Rice,ข้าว
WORD_HEART_344,Love,ความรัก
WORD_HIPPIE_349,Hippie,ฮิปปี้
WORD_ROBOT_354,Robot,หุ่นยนต์
WORD_GREECE_359,Greece,กรีซ
WORD_DYNAMICS_360,Dynamics,พลวัต
WORD_LAKES_365,Lakes,ทะเลสาบ
WORD_NUCLEAR_366,Nuclear,นิวเคลียร์
WORD_ITALY_376,Italy,อิตาลี
WORD_POINTING_379,Pointing,คำชี้เฉพาะ
WORD_SKIN_380,Skin,ผิวหนัง
WORD_BUILD_384,Build,สร้าง
WORD_POLICIES_394,Politics,การเมือง
WORD_STRENGTH_401,Strength,ความแข็งแกร่ง
WORD_MESSAGE_407,Message,ข้อความ
WORD_VIEWS_410,Views,ปรัชญา
WORD_ORGANS_412,Organs,อวัยวะ
WORD_TAROT_417,Tarot,ไพ่ทาโรต์
WORD_VOICES_439,Voices,เสียง
WORD_POETRY_440,Poetry,บทกวี
WORD_MEALS_444,Meals,มื้ออาหาร
WORD_ALCHEMY_445,Alchemy,การเล่นแร่แปรธาตุ
WORD_PAGANISM_469,Paganism,ลัทธิพหุเทวนิยม
WORD_PRESENT_470,Present,ปัจจุบัน
WORD_SECRET_471,Secret,ความลับ
WORD_EQUIDAE_475,Equidae,ม้า
WORD_LEATHER_480,Leather,หนัง
WORD_CASTLE_485,Castle,ปราสาท
WORD_DISPLAY_486,Display,จอแสดงผล
WORD_CULTURES_487,Cultures,วัฒนธรรม
WORD_WARRIORS_491,Warriors,นักรบ
WORD_LIE_492,Lie,โกหก
WORD_VIOLIN_508,Orchestra,วงออร์เคสตรา
WORD_ANAGRAM_511,Anagram,อนาแกรม
WORD_DRUM_518,Drum,กลอง
WORD_WREATH_544,Winning,การชนะ
WORD_ZEN_549,Zen,เซน
WORD_NETWORK_588,Network,เครือข่าย
WORD_CUSTOMS_592,Customs,ศุลกากร
WORD_MORTGAGE_595,Mortgage,การจำนอง
WORD_CONCRETE_601,Concrete,คอนกรีต
WORD_MEMES_620,Memes,มีม
WORD_ALKANES_641,Alkanes,อัลเคน
WORD_EVALUATE_651,Evaluate,การประเมิน
WORD_QUEST_680,Quest,การผจญภัย
WORD_BEARDS_681,Beards,เครา
WORD_YINYANG_721,Yinyang,หยินหยาง
WORD_FOODIE_726,Foodie,คนรักอาหาร
WORD_OPERA_760,Opera,โอเปรา
WORD_HARBOR_764,Harbor,ท่าเรือ
WORD_STREET_768,Street,ถนน
WORD_CHIMERA_795,Chimera,ไคเมรา
WORD_CARRIAGE_800,Carriage,รถม้า
WORD_GAITS_810,Gaits,ท่าเดิน
WORD_EARTH_831,Earth,โลก
WORD_VIOLINS_845,Violins,ไวโอลิน
WORD_GRAMMAR_861,Grammar,ไวยากรณ์
WORD_COASTAL_882,Coastal,ชายฝั่ง
WORD_WHEEL_890,Wheel,ล้อ
WORD_INDUSTRY_921,Industry,อุตสาหกรรม
WORD_PREFIX_922,Prefix,คำนำหน้า
WORD_BREEDS_940,Breeds,สายพันธุ์แมว
WORD_LANDMARK_948,Landmark,สถานที่สำคัญ
WORD_RIVERS_959,Rivers,แม่น้ำ
WORD_COAST_969,Coast,ชายฝั่งทะเล
WORD_SKINCARE_984,Skincare,การดูแลผิว
WORD_DYNASTY_991,Dynasty,ราชวงศ์
WORD_PRIEST_1019,Priest,พระสงฆ์
WORD_MAPS_1022,Maps,แผนที่
WORD_SINGING_1054,Singing,การร้องเพลง
WORD_GENETICS_1060,Genetics,พันธุศาสตร์
WORD_SCREEN_1030,Screen,หน้าจอ
WORD_ALARM_1031,Alarm,นาฬิกาปลุก
WORD_LEAVES_1055,Leaves,ใบไม้
WORD_DISHWARE_829,Dishware,เครื่องใช้บนโต๊ะอาหาร
WORD_POND_830,Pond,สระน้ำ
PIC_CHESS_1,Chess,หมากรุก
PIC_SPORTS_2,Sports,กีฬา
PIC_FURNITURE_3,Furniture,เฟอร์นิเจอร์
PIC_DECK_4,Deck,สำรับ
PIC_ZODIAC_5,Zodiac,ราศี
PIC_TOOLBOX_6,Toolbox,กล่องเครื่องมือ
PIC_GARMENTS_7,Garments,เสื้อผ้า
PIC_VEGGIE_8,Veggie,ผัก
PIC_FRUITS_9,Fruits,ผลไม้
PIC_CHAIR_10,Chair,เก้าอี้
PIC_HATS_11,Hats,หมวก
PIC_PLAY_12,Music,ดนตรี
PIC_CLEANING_13,Cleaning,การทำความสะอาด
PIC_SHOES_14,Shoes,รองเท้า
PIC_MAP_15,Map,ประเทศ
PIC_BIRD_16,Bird,นก
PIC_SEAFOOD_17,Seafood,อาหารทะเล
PIC_DOGS_18,Dogs,สุนัข
PIC_EATS_19,Eats,ฟาสต์ฟู้ด
PIC_BUILD_20,Build,สร้าง
PIC_FOLKLORE_21,Folklore,นิทานพื้นบ้าน
PIC_DRUPES_22,Drupes,ผลไม้มีเมล็ด
PIC_PICNIC_23,Picnic,ปิกนิก
PIC_PASTRY_24,Pastry,ขนมอบ
PIC_WIND_25,Wind,เครื่องเป่า
PIC_MALL_26,Mall,ห้างสรรพสินค้า
PIC_STRINGS_27,Strings,เครื่องสาย
PIC_JEWELRY_28,Jewelry,เครื่องประดับ
PIC_FLOWERS_29,Flowers,ดอกไม้
PIC_REPTILES_30,Reptiles,สัตว์เลื้อยคลาน
PIC_GEMSTONE_31,Gemstone,อัญมณี
PIC_INSECTS_32,Insects,แมลง
PIC_RODENTS_33,Rodents,สัตว์ฟันแทะ
PIC_WESTERN_34,Western,ตะวันตก
PIC_PIRATE_35,Pirate,โจรสลัด
PIC_BEACH_36,Beach,ชายหาด
PIC_EGYPT_37,Egypt,อียิปต์
PIC_SPACE_38,Space,อวกาศ
PIC_SEA_FISH_39,Sea fish,ปลาทะเล
PIC_BIRTHDAY_40,Birthday,วันเกิด
PIC_CHARGER_41,Charger,ที่ชาร์จ
PIC_TRANSPORT_42,Transport,การขนส่ง
PIC_WHISKERS_43,Whiskers,หนวด
PIC_BURGER_44,Burger,เบอร์เกอร์
PIC_DRINKS_45,Drinks,เครื่องดื่ม
PIC_SHAPES_46,Shapes,รูปทรง
PIC_LUXURY_47,Luxury,ความหรูหรา
PIC_TAROT_48,Tarot,ไพ่ทาโรต์
PIC_BABIES_49,Babies,ทารก
PIC_SAILOR_50,Sailor,กะลาสี
PIC_CANDY_51,Candy,ลูกอม
PIC_KEYS_52,Keys,กุญแจ
PIC_LAWN_53,Lawn,สนามหญ้า
PIC_3D_54,3D,3D
PIC_VAMPIRE_55,Vampire,แวมไพร์
PIC_LANDMARK_56,Landmark,สถานที่สำคัญ
PIC_DESERT_57,Desert,ทะเลทราย
PIC_TOYS_58,Toys,ของเล่น
PIC_PURPLE_59,Purple,สีม่วง
PIC_YELLOW_60,Yellow,สีเหลือง
PIC_RAIN_61,Rain,ฝน
PIC_GYM_62,Gym,ยิม
PIC_PAIRS_63,Pairs,คู่
PIC_CAMPING_64,Camping,การตั้งแคมป์
PIC_XMAS_65,Xmas,คริสต์มาส
PIC_MAIL_66,Mail,ไปรษณีย์
PIC_CHEF_67,Chef,เชฟ
PIC_SCREEN_68,Screen,หน้าจอ
PIC_TOOLS_69,Tools,เครื่องมือ
PIC_SUPPLIES_70,Supplies,อุปกรณ์
PIC_UTENSILS_71,Utensils,ภาชนะ
PIC_ARTS_72,Arts,ศิลปะ
PIC_SURVIVAL_73,Survival,การเอาชีวิตรอด
PIC_BAKING_74,Baking,การอบ
PIC_MEDICAL_75,Medical,การแพทย์
PIC_ECO_ITEMS_76,Eco-items,สินค้าอีโค่
PIC_DECOR_77,Decor,ของตกแต่ง
PIC_AQUATICS_78,Water_Sports,กีฬาทางน้ำ
PIC_ICONS_79,Icons,ไอคอน
