id,category_name_en,zh-TW
WORD_PETS_2,Pets,寵物
WORD_FOOD_3,Food,食物
WORD_FLOWERS_4,Flowers,花卉
WORD_CINEMA_6,Cinema,電影
WORD_BURGER_8,Burger,漢堡
WORD_BOOK_9,Book,書籍
WORD_LANDMASS_10,Landmass,陸地
WORD_DRINKS_16,Drinks,飲料
WORD_CHESS_17,Chess,象棋
WORD_SEASONS_18,Seasons,季節
WORD_FISHING_20,Fishing,釣魚
WORD_ISLANDS_21,Islands,島嶼
WORD_DANCES_24,Dances,舞蹈
WORD_INSECTS_25,Insects,昆蟲
WORD_MATERIAL_27,Material,材料
WORD_AIRPORT_29,Airport,機場
WORD_DAIRY_30,Dairy,乳製品
WORD_FISH_31,Fish,魚類
WORD_MAP_32,Nations,國家
WORD_KNIGHT_34,Knight,騎士
WORD_GAMER_36,Gamer,遊戲玩家
WORD_DEVICE_38,Device,設備
WORD_HOUSE_40,House,豪宅
WORD_JOBS_42,Jobs,職業
WORD_FOOTWEAR_46,Footwear,鞋類
WORD_DRIVING_49,Driving,駕駛
WORD_EXPLORER_51,Explorer,探險家
WORD_MOVEMENT_52,Movement,運動
WORD_PHASE_57,Phase,階段
WORD_COZY_58,Cozy,舒適
WORD_ZODIAC_59,Zodiac,星座
WORD_SHIP_62,Ship,船隻
WORD_MAILMAN_63,Mailman,郵差
WORD_SCULPT_64,Sculpt,雕塑
WORD_LANGUAGE_70,Language,語言
WORD_CAMERA_73,Camera,相機
WORD_FOG_76,Fog,霧
WORD_SNOW_77,Snow,雪
WORD_SPIKY_78,Spiky,尖刺
WORD_BIRDS_80,Birds,鳥類
WORD_MINDS_82,Minds,思想家
WORD_HOCKEY_86,Hockey,冰球
WORD_DATE_87,Date,約會
WORD_SAW_88,Saw,鋸子
WORD_ACTOR_89,Actor,演員
WORD_PLANET_90,Planet,星球
WORD_LESSONS_94,Lessons,課程
WORD_PILLS_99,Pills,藥片
WORD_RAINY_100,Rainy,雨天
WORD_BREADS_102,Breads,麵包
WORD_BRAIN_106,Brain,大腦
WORD_ELEMENTS_107,Elements,元素
WORD_CHEESE_108,Cheese,乳酪
WORD_FITNESS_110,Fitness,健身
WORD_MUSCLES_112,Muscles,肌肉
WORD_EGYPT_114,Egypt,埃及
WORD_BERRY_116,Berry,漿果
WORD_CAPITALS_119,Capitals,首都
WORD_MAKEUP_120,Makeup,化妝
WORD_COMBAT_121,Combat,格鬥
WORD_GUITAR_122,Guitar,吉他
WORD_BALLET_125,Ballet,芭蕾
WORD_UNITE_126,Unite,聯合
WORD_LUXURY_133,Luxury,奢華
WORD_BIOMES_135,Biomes,生物群系
WORD_SPICY_136,Spicy,辛辣
WORD_PLANE_139,Plane,飛機
WORD_RODENTS_141,Rodents,囓齒動物
WORD_ENERGY_145,Energy,能量
WORD_ARTICLES_147,Articles,文章
WORD_DISASTER_148,Disaster,災難
WORD_PRIMATES_149,Primates,靈長類
WORD_CODING_150,Coding,編程
WORD_RAP_151,Rap,饒舌
WORD_WATER_152,Waterfall,瀑布
WORD_TOYS_154,Toys,玩具
WORD_ARMY_156,Army,軍銜
WORD_MEDITATE_160,Meditate,冥想
WORD_FAME_161,Fame,名聲
WORD_LINGUIST_162,Linguist,語言學家
WORD_HOLIDAY_163,Holiday,假日
WORD_GYM_164,Gym,健身房
