id,basic_card_name_en,zh-CN
DOG_WORD_PETS_2,Dog,狗
HAMSTER_WORD_PETS_2,Hamster,仓鼠
CAT_WORD_PETS_2,Cat,猫
PARROT_WORD_PETS_2,Parrot,鹦鹉
HOT_DOG_WORD_FOOD_3,Hot dog,热狗
PIZZA_WORD_FOOD_3,Pizza,披萨
BURGER_WORD_FOOD_3,Burger,汉堡
FRIES_WORD_FOOD_3,Fries,薯条
PEONY_WORD_FLOWERS_4,Peony,牡丹
LILY_WORD_FLOWERS_4,Lily,百合
ROSE_WORD_FLOWERS_4,Rose,玫瑰
TULIP_WORD_FLOWERS_4,Tulip,郁金香
WESTERN_WORD_CINEMA_6,Western,西部片
DRAMA_WORD_CINEMA_6,Drama,剧情片
COMEDY_WORD_CINEMA_6,Comedy,喜剧片
HORROR_WORD_CINEMA_6,Horror,恐怖片
POPCORN_WORD_CINEMA_6,Action,动作片
TICKET_WORD_CINEMA_6,Romance,爱情片
BEEF_WORD_BURGER_8,Beef,牛肉
BUN_WORD_BURGER_8,Bun,面包
SAUCE_WORD_BURGER_8,Sauce,酱料
CHEESE_WORD_BURGER_8,Cheese,奶酪
PAGE_WORD_BOOK_9,Page,页
PAPER_WORD_BOOK_9,Paper,纸
COVER_WORD_BOOK_9,Cover,封面
ASIA_WORD_LANDMASS_10,Asia,亚洲
AFRICA_WORD_LANDMASS_10,Africa,非洲
EUROPE_WORD_LANDMASS_10,Europe,欧洲
SODA_WORD_DRINKS_16,Soda,苏打水
ESPRESSO_WORD_DRINKS_16,Espresso,浓缩咖啡
LEMONADE_WORD_DRINKS_16,Lemonade,柠檬水
JUICE_WORD_DRINKS_16,Juice,果汁
PAWN_WORD_CHESS_17,Pawn,兵
ROOK_WORD_CHESS_17,Rook,车
BISHOP_WORD_CHESS_17,Bishop,象
QUEEN_WORD_CHESS_17,Queen,后
SPRING_WORD_SEASONS_18,Spring,春
AUTUMN_WORD_SEASONS_18,Autumn,秋
WINTER_WORD_SEASONS_18,Winter,冬
SUMMER_WORD_SEASONS_18,Summer,夏
ROD_WORD_FISHING_20,Rod,鱼竿
BOBBER_WORD_FISHING_20,Bobber,浮漂
BAIT_WORD_FISHING_20,Bait,鱼饵
JAMAICA_WORD_ISLANDS_21,Jamaica,牙买加
ICELAND_WORD_ISLANDS_21,Iceland,冰岛
SICILY_WORD_ISLANDS_21,Sicily,西西里
HAWAII_WORD_ISLANDS_21,Hawaii,夏威夷
BALI_WORD_ISLANDS_21,Bali,巴厘岛
IBIZA_WORD_ISLANDS_21,Ibiza,伊比萨
CRETE_WORD_ISLANDS_21,Crete,克里特
BARBADOS_WORD_ISLANDS_21,Barbados,巴巴多斯
RUMBA_WORD_DANCES_24,Rumba,伦巴
TANGO_WORD_DANCES_24,Tango,探戈
SALSA_WORD_DANCES_24,Salsa,萨尔萨
WALTZ_WORD_DANCES_24,Waltz,华尔兹
SAMBA_WORD_DANCES_24,Samba,桑巴
FLAMENCO_WORD_DANCES_24,Flamenco,弗拉明戈
MOSQUITO_WORD_INSECTS_25,Mosquito,蚊子
LADYBUG_WORD_INSECTS_25,Ladybug,瓢虫
MOTH_WORD_INSECTS_25,Moth,飞蛾
WASP_WORD_INSECTS_25,Wasp,黄蜂
DRAGONFLY_WORD_INSECTS_25,Dragonfly,蜻蜓
ANT_WORD_INSECTS_25,Ant,蚂蚁
METAL_WORD_MATERIAL_27,Metal,金属
GLASS_WORD_MATERIAL_27,Glass,玻璃
PLASTIC_WORD_MATERIAL_27,Plastic,塑料
STONE_WORD_MATERIAL_27,Stone,石头
TERMINAL_WORD_AIRPORT_29,Terminal,航站楼
RUNWAY_WORD_AIRPORT_29,Runway,跑道
GATE_WORD_AIRPORT_29,Gate,登机口
CREAM_WORD_DAIRY_30,Cream,奶油
BUTTER_WORD_DAIRY_30,Butter,黄油
YOGURT_WORD_DAIRY_30,Yogurt,酸奶
GOLDFISH_WORD_FISH_31,Goldfish,金鱼
TUNA_WORD_FISH_31,Tuna,金枪鱼
MARLIN_WORD_FISH_31,Marlin,旗鱼
SARDINE_WORD_FISH_31,Sardine,沙丁鱼
EEL_WORD_FISH_31,Eel,鳗鱼
MACKEREL_WORD_FISH_31,Mackerel,鲭鱼
