id,category_name_en,zh-CN
WORD_PETS_2,Pets,宠物
WORD_FOOD_3,Food,食物
WORD_FLOWERS_4,Flowers,花卉
WORD_CINEMA_6,Cinema,电影
WORD_BURGER_8,Burger,汉堡
WORD_BOOK_9,Book,书籍
WORD_LANDMASS_10,Landmass,陆地
WORD_DRINKS_16,Drinks,饮料
WORD_CHESS_17,Chess,象棋
WORD_SEASONS_18,Seasons,季节
WORD_FISHING_20,Fishing,钓鱼
WORD_ISLANDS_21,Islands,岛屿
WORD_DANCES_24,Dances,舞蹈
WORD_INSECTS_25,Insects,昆虫
WORD_MATERIAL_27,Material,材料
WORD_AIRPORT_29,Airport,机场
WORD_DAIRY_30,Dairy,乳制品
WORD_FISH_31,Fish,鱼类
WORD_MAP_32,Nations,国家
WORD_KNIGHT_34,Knight,骑士
WORD_GAMER_36,Gamer,游戏玩家
WORD_DEVICE_38,Device,设备
WORD_HOUSE_40,House,豪宅
WORD_JOBS_42,Jobs,职业
WORD_FOOTWEAR_46,Footwear,鞋类
WORD_DRIVING_49,Driving,驾驶
WORD_EXPLORER_51,Explorer,探险家
WORD_MOVEMENT_52,Movement,运动
WORD_PHASE_57,Phase,阶段
WORD_COZY_58,Cozy,舒适
WORD_ZODIAC_59,Zodiac,星座
WORD_SHIP_62,Ship,船只
WORD_MAILMAN_63,Mailman,邮递员
WORD_SCULPT_64,Sculpt,雕塑
WORD_LANGUAGE_70,Language,语言
WORD_CAMERA_73,Camera,相机
WORD_FOG_76,Fog,雾
WORD_SNOW_77,Snow,雪
WORD_SPIKY_78,Spiky,尖刺
WORD_BIRDS_80,Birds,鸟类
WORD_MINDS_82,Minds,思想家
WORD_HOCKEY_86,Hockey,冰球
WORD_DATE_87,Date,约会
WORD_SAW_88,Saw,锯子
WORD_ACTOR_89,Actor,演员
WORD_PLANET_90,Planet,星球
WORD_LESSONS_94,Lessons,课程
WORD_PILLS_99,Pills,药片
WORD_RAINY_100,Rainy,雨天
WORD_BREADS_102,Breads,面包
WORD_BRAIN_106,Brain,大脑
WORD_ELEMENTS_107,Elements,元素
WORD_CHEESE_108,Cheese,奶酪
WORD_FITNESS_110,Fitness,健身
WORD_MUSCLES_112,Muscles,肌肉
WORD_EGYPT_114,Egypt,埃及
